City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Kalabo,ZM,2020-06-24 02:23:41,-14.97,22.68,49.3,55,0,6.6
91,Cape Town,ZA,2020-06-24 02:23:41,-33.93,18.42,50.0,100,0,8.05
92,Deputatskiy,RU,2020-06-24 02:23:41,69.3,139.9,78.57,28,0,7.63
93,Atuona,PF,2020-06-24 02:23:41,-9.8,-139.03,80.11,75,20,14.36
94,Beringovskiy,RU,2020-06-24 02:23:41,63.05,179.32,40.96,74,59,9.22
95,Mataura,NZ,2020-06-24 02:23:41,-46.19,168.86,49.15,82,87,1.68
96,Hobart,AU,2020-06-24 02:19:35,-42.88,147.33,55.0,93,75,8.05
97,Sechura,PE,2020-06-24 02:23:41,-5.56,-80.82,65.89,79,4,12.88
98,Bredasdorp,ZA,2020-06-24 02:23:41,-34.53,20.04,41.0,93,0,1.95
99,Puerto Ayora,EC,2020-06-24 02:20:21,-0.74,-90.35,70.0,92,33,8.52
100,Harper,LR,2020-06-24 02:23:42,4.38,-7.72,76.5,81,100,8.12
101,Odweyne,SO,2020-06-24 02:23:42,9.41,45.06,73.92,63,1,14.54
102,Jibuti,DJ,2020-06-24 02:23:42,11.5,42.5,87.8,79,1,2.71
103,Chokurdakh,RU,2020-06-24 02:23:42,70.63,147.92,75.07,26,65,7.52
104,Salalah,OM,2020-06-24 02:20:36,17.02,54.09,80.6,94,75,4.7
105,Port Alfred,ZA,2020-06-24 02:23:42,-33.59,26.89,66.99,33,4,10.0
106,Tasiilaq,GL,2020-06-24 02:23:42,65.61,-37.64,42.8,81,100,1.81
107,Provideniya,RU,2020-06-24 02:23:42,64.38,-173.3,44.6,75,40,15.66
108,Qandala,SO,2020-06-24 02:23:42,11.47,49.87,89.74,56,53,2.86
109,College,US,2020-06-24 02:23:42,64.86,-147.8,57.2,71,90,8.05
110,Coihaique,CL,2020-06-24 02:23:42,-45.58,-72.07,30.2,92,25,2.44
111,Tuktoyaktuk,CA,2020-06-24 02:23:42,69.45,-133.04,37.4,86,90,14.99
