City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
89,Port Lincoln,AU,-34.73,135.87,53.29,82,27,4.83,scattered clouds,0.0,0
90,Jamestown,US,42.1,-79.24,71.6,49,40,9.17,scattered clouds,0.0,0
91,Musoma,TZ,-1.5,33.8,72.64,71,19,2.68,few clouds,0.0,0
92,Kodiak,US,57.79,-152.41,50.0,81,90,13.87,light rain,0.51,0
93,Comodoro Rivadavia,AR,-45.87,-67.5,41.0,71,75,12.75,broken clouds,0.0,0
94,Flinders,AU,-34.58,150.86,51.01,72,0,1.01,clear sky,0.0,0
95,Broome,US,42.25,-75.83,80.01,46,75,11.41,broken clouds,0.0,0
96,Esperance,AU,-33.87,121.9,53.6,46,33,13.87,scattered clouds,0.0,0
97,Seoul,KR,37.57,126.98,69.8,100,90,9.17,light intensity drizzle,0.0,0
98,Terekli-Mekteb,RU,44.17,45.87,80.4,43,58,15.84,broken clouds,0.0,0
99,Canico,PT,32.63,-16.85,71.01,77,40,11.41,scattered clouds,0.0,0
100,Vaini,TO,-21.2,-175.2,71.6,88,20,4.7,few clouds,0.0,0
101,Ilulissat,GL,69.22,-51.1,42.8,75,75,6.93,broken clouds,0.0,0
102,Merauke,ID,-8.47,140.33,77.86,88,91,14.65,overcast clouds,0.0,0
103,Buala,SB,-8.14,159.59,80.55,80,89,9.64,light rain,0.11,0
104,Cairns,AU,-16.92,145.77,68.0,77,90,6.93,overcast clouds,0.0,0
105,Mount Isa,AU,-20.73,139.5,57.2,33,0,10.29,clear sky,0.0,0
106,Visby,SE,57.64,18.3,71.6,56,2,3.36,clear sky,0.0,0
107,Lebu,CL,-37.62,-73.65,50.65,79,97,6.64,overcast clouds,0.0,0
108,Marawi,PH,8.0,124.29,75.99,95,99,3.0,overcast clouds,0.0,0
109,Turayf,SA,31.67,38.66,89.6,15,0,5.82,clear sky,0.0,0
110,Airai,TL,-8.93,125.41,56.97,100,34,3.29,scattered clouds,0.0,0
111,Hofn,IS,64.25,-15.21,50.54,87,40,8.32,scattered clouds,0.0,0
112,Geraldton,AU,-28.77,114.6,53.6,87,75,9.17,broken clouds,0.0,0
113,Aklavik,CA,68.22,-135.01,55.4,71,90,8.05,overcast clouds,0.0,0
114,San Rafael,AR,-34.62,-68.33,53.35,36,0,4.14,clear sky,0.0,0
115,Vigrestad,NO,58.57,5.7,73.99,68,20,5.82,few clouds,0.0,0
116,Pisco,PE,-13.7,-76.22,63.0,93,90,8.05,light intensity drizzle,0.0,0
117,Kloulklubed,PW,7.04,134.26,78.8,88,75,7.63,broken clouds,0.0,0
118,Karratha,AU,-20.74,116.85,65.89,54,0,5.91,clear sky,0.0,0
119,Cherskiy,RU,68.75,161.3,53.8,59,64,12.86,broken clouds,0.0,0
120,Saint-Philippe,RE,-21.36,55.77,73.4,69,39,29.97,light rain,0.25,0
121,Malakal,SS,9.53,31.66,82.17,62,85,3.42,light rain,0.26,0
122,Sur,OM,22.57,59.53,84.27,77,83,12.95,broken clouds,0.0,0
123,Susanville,US,40.42,-120.65,81.0,28,1,5.82,clear sky,0.0,0
124,Marzuq,YE,14.4,46.47,85.71,18,46,2.71,scattered clouds,0.0,0
125,Miri,MY,4.41,114.01,77.0,94,40,8.05,scattered clouds,0.0,0
126,Mul,IN,20.07,79.67,86.07,68,91,7.43,overcast clouds,0.0,0
127,San Pedro De Ycuamandiyu,PY,-24.09,-57.08,60.98,90,94,9.71,light rain,0.14,0
128,Clyde River,CA,70.47,-68.59,55.4,47,20,8.05,few clouds,0.0,0
129,Sampit,ID,-2.53,112.95,72.52,97,42,2.04,scattered clouds,0.0,0
130,Madarounfa,NE,13.31,7.16,102.2,29,8,6.93,clear sky,0.0,0
131,Kudahuvadhoo,MV,2.67,72.89,82.72,80,60,13.98,light rain,0.81,0
